😀	2.91
😃	2.93
😄	2.85
😁	2.84
😆	2.44
😅	0.00
🤣	0.00
😂	0.00
🙂	2.24
🙃	-2.00
😉	2.71
😊	3.01
😇	2.91
😍	2.89
🤩	2.95
😘	3.10
😗	2.73
☺	2.95
😚	2.93
😙	3.16
😋	2.86
😛	2.51
😜	2.49
🤪	2.32
😝	2.45
🤑	2.27
🤗	2.88
🤭	0.00
🤫	0.00
🤔	0.00
🤐	0.00
🤨	0.00
😐	-2.27
😑	-2.30
😶	0.00
😏	2.39
😒	-2.32
🙄	-2.11
😬	0.00
🤥	0.00
😌	2.39
😔	-2.58
😪	-2.33
🤤	2.35
😴	0.00
😷	-2.35
🤒	-2.43
🤕	-2.41
🤢	-2.18
🤮	-2.23
🤧	0.00
😵	0.00
🤯	0.00
🤠	2.38
😎	2.78
🤓	2.59
🧐	0.00
😕	-2.47
😟	-2.28
🙁	-2.62
☹	-2.56
😮	2.25
😯	0.00
😲	0.00
😳	0.00
😦	0.00
😧	0.00
😨	-2.19
😰	0.00
😥	-2.28
😢	-2.29
😭	0.00
😱	2.13
😖	-2.44
😣	-2.33
😞	-2.81
😓	-2.39
😩	0.00
😫	-2.00
😤	0.00
😡	-2.34
😠	-2.33
🤬	-2.39
😈	2.55
👿	0.00
💀	0.00
☠	2.14
💩	0.00
🤡	2.22
👹	2.22
👺	-2.06
👻	2.69
👽	2.66
👾	3.30
🤖	2.81
😺	3.02
😸	2.90
😹	2.16
😻	2.85
😼	2.44
😽	3.03
🙀	2.29
😿	-2.32
😾	0.00
🙈	2.22
🙉	2.47
🙊	2.32
💋	3.12
💌	2.85
💘	2.78
💝	2.80
💖	2.93
💗	3.02
💓	2.98
💞	2.96
💕	3.00
💟	3.05
❣	2.95
💔	-2.47
❤	2.96
🧡	2.95
💛	2.99
💚	2.98
💙	2.95
💜	3.01
🖤	2.79
💯	2.28
💢	2.38
💥	2.89
💫	3.10
💦	2.49
💨	2.58
🕳	2.10
💣	2.48
💬	2.43
👁️‍🗨️	2.10
🗨	3.56
🗯	3.01
💭	2.39
💤	2.56
👋	2.60
🤚	2.03
🖐	2.53
✋	2.17
🖖	2.82
👌	2.80
✌	2.65
🤞	2.37
🤟	2.76
🤘	2.83
🤙	2.75
👈	2.78
👉	2.77
👆	2.66
🖕	0.00
👇	2.61
☝	2.64
👍	3.02
👎	-2.21
✊	2.72
👊	2.68
🤛	2.74
🤜	2.73
👏	2.82
🙌	2.93
👐	2.32
🤲	2.97
🤝	2.56
🙏	2.66
✍	2.64
💅	2.42
🤳	2.40
💪	2.69
👂	2.74
👃	2.33
🧠	2.52
👀	2.45
👁	2.58
👅	2.84
👄	2.86
👶	2.77
🧒	2.53
👦	2.55
👧	2.69
🧑	2.68
👱	2.85
👨	2.75
🧔	2.84
👩	2.75
👱‍♀️	2.83
👱‍♂️	2.31
🧓	2.16
👴	2.21
👵	2.20
🙍	-2.15
🙍‍♂️	2.94
🙍‍♀️	2.03
🙎	2.23
🙎‍♂️	2.23
🙎‍♀️	2.86
🙅	-2.11
🙅‍♂️	0.00
🙅‍♀️	2.35
🙆	2.23
🙆‍♂️	2.34
🙆‍♀️	2.54
💁	2.27
💁‍♂️	2.59
💁‍♀️	2.07
🙋	2.82
🙋‍♂️	3.21
🙋‍♀️	3.22
🙇	2.26
🙇‍♂️	2.56
🙇‍♀️	2.79
🤦	-2.27
🤦‍♂️	-2.03
🤦‍♀️	-2.14
🤷	0.00
🤷‍♂️	0.00
🤷‍♀️	0.00
👨‍⚕️	-2.17
👩‍⚕️	2.66
👨‍🎓	3.18
👩‍🎓	3.13
👨‍🏫	2.41
👩‍🏫	2.66
👨‍⚖️	2.28
👩‍⚖️	2.79
👨‍🌾	2.77
👩‍🌾	3.15
👨‍🍳	2.91
👩‍🍳	3.20
👨‍🔧	2.85
👩‍🔧	2.94
👨‍🏭	2.20
👩‍🏭	2.83
👨‍💼	2.19
👩‍💼	2.67
👨‍🔬	2.18
👩‍🔬	2.83
👨‍💻	2.68
👩‍💻	3.07
👨‍🎤	3.09
👩‍🎤	3.11
👨‍🎨	2.36
👩‍🎨	2.96
👨‍✈️	2.82
👩‍✈️	2.47
👨‍🚀	3.19
👩‍🚀	3.11
👨‍🚒	2.92
👩‍🚒	3.02
👮	0.00
👮‍♂️	0.00
👮‍♀️	0.00
🕵	2.43
🕵️‍♂️	2.23
💂	2.24
💂‍♂️	2.24
💂‍♀️	2.96
👷	2.65
👷‍♂️	2.73
👷‍♀️	2.83
🤴	2.57
👸	2.91
👳	2.25
👳‍♂️	0.00
👳‍♀️	2.86
👲	2.64
🧕	3.01
🤵	2.86
👰	3.10
🤰	2.25
🤱	2.14
👼	2.90
🎅	3.20
🤶	3.16
🧙	2.64
🧙‍♂️	2.80
🧙‍♀️	2.39
🧚	2.78
🧚‍♂️	3.26
🧚‍♀️	3.04
🧛	2.59
🧛‍♂️	-2.29
🧛‍♀️	3.27
🧜	3.01
🧜‍♂️	3.36
🧜‍♀️	3.38
🧝	0.00
🧝‍♂️	0.00
🧝‍♀️	2.75
🧞	2.91
🧞‍♂️	3.17
🧞‍♀️	2.84
🧟	2.14
🧟‍♂️	2.03
🧟‍♀️	2.34
💆	0.00
💆‍♂️	2.72
💆‍♀️	2.19
💇	2.52
💇‍♂️	2.49
💇‍♀️	2.75
🚶	2.38
🚶‍♂️	2.72
🚶‍♀️	2.57
🏃	2.51
🏃‍♂️	2.76
🏃‍♀️	3.21
💃	2.84
🕺	2.89
🕴	2.85
👯	2.83
👯‍♂️	2.92
👯‍♀️	2.80
🧖	2.72
🧖‍♂️	2.90
🧖‍♀️	2.63
🧗	2.76
🧗‍♂️	2.97
🧗‍♀️	3.00
🤺	2.28
🏇	2.81
⛷	2.98
🏂	2.99
🏌	2.41
🏌️‍♂️	2.74
🏌️‍♀️	3.12
🏄	2.98
🏄‍♂️	2.90
🏄‍♀️	3.51
🚣	2.77
🚣‍♂️	2.53
🚣‍♀️	2.84
🏊	2.86
🏊‍♂️	2.72
🏊‍♀️	3.18
⛹	2.48
⛹️‍♂️	2.86
⛹️‍♀️	2.97
🏋	2.62
🏋️‍♂️	2.96
🏋️‍♀️	2.75
🚴	2.16
🚴‍♂️	2.66
🚴‍♀️	-2.76
🚵	3.01
🚵‍♂️	3.21
🚵‍♀️	2.62
🤸	2.48
🤸‍♂️	2.44
🤸‍♀️	2.92
🤼	2.97
🤼‍♂️	3.07
🤼‍♀️	2.86
🤽	3.00
🤽‍♂️	2.96
🤽‍♀️	3.65
🤾	2.58
🤾‍♂️	3.13
🤾‍♀️	3.35
🤹	2.83
🤹‍♂️	2.89
🤹‍♀️	3.07
🧘	2.60
🧘‍♂️	2.95
🧘‍♀️	3.00
🛀	2.71
🛌	2.97
👭	2.77
👫	2.73
👬	2.84
💏	2.65
👩‍❤️‍💋‍👨	2.52
👨‍❤️‍💋‍👨	2.70
👩‍❤️‍💋‍👩	3.00
💑	2.86
👩‍❤️‍👨	2.47
👨‍❤️‍👨	2.80
👩‍❤️‍👩	2.68
👪	3.03
👨‍👩‍👦	2.67
👨‍👩‍👧	2.72
👨‍👩‍👧‍👦	2.53
👨‍👩‍👦‍👦	2.67
👨‍👩‍👧‍👧	2.41
👨‍👨‍👦	3.46
👨‍👨‍👧	2.44
👨‍👨‍👧‍👦	2.57
👨‍👨‍👦‍👦	2.56
👨‍👨‍👧‍👧	2.46
👩‍👩‍👦	3.14
👩‍👩‍👧	2.90
👩‍👩‍👧‍👦	0.00
👩‍👩‍👦‍👦	2.51
👩‍👩‍👧‍👧	3.13
👨‍👦	3.24
👨‍👦‍👦	2.99
👨‍👧	2.54
👨‍👧‍👦	2.69
👨‍👧‍👧	3.62
👩‍👦	2.70
👩‍👦‍👦	2.52
👩‍👧	2.77
👩‍👧‍👦	2.55
👩‍👧‍👧	2.57
🗣	2.11
👤	2.55
👥	3.00
👣	2.69
🐵	3.31
🐒	2.94
🦍	2.46
🐶	2.69
🐕	2.60
🐩	2.98
🐺	2.93
🦊	2.95
🐱	2.88
🐈	2.72
🦁	2.92
🐯	2.65
🐅	2.92
🐆	2.83
🐴	2.83
🐎	3.08
🦄	2.89
🦓	2.95
🦌	2.65
🐮	2.68
🐂	2.63
🐃	2.94
🐄	2.17
🐷	2.64
🐖	2.40
🐗	3.42
🐽	2.42
🐏	3.09
🐑	2.70
🐐	2.72
🐪	2.76
🐫	3.00
🦒	3.04
🐘	2.49
🦏	2.28
🐭	2.76
🐁	3.40
🐀	-2.05
🐹	2.67
🐰	2.72
🐇	3.06
🐿	2.00
🦔	2.78
🦇	2.69
🐻	2.66
🐨	2.71
🐼	3.01
🐾	2.96
🦃	2.79
🐔	2.76
🐓	2.68
🐣	3.08
🐤	3.14
🐥	2.56
🐦	3.04
🐧	2.73
🕊	2.97
🦅	2.75
🦆	2.42
🦉	2.93
🐸	2.61
🐊	2.98
🐢	2.62
🦎	3.04
🐍	2.15
🐲	2.75
🐉	2.96
🦕	3.18
🦖	2.87
🐳	3.01
🐋	2.81
🐬	3.03
🐟	2.94
🐠	3.20
🐡	3.52
🦈	3.02
🐙	3.17
🐚	2.96
🐌	3.03
🦋	2.89
🐛	3.10
🐜	2.67
🐝	2.83
🐞	3.11
🦗	2.12
🕷	2.51
🕸	2.58
🦂	2.82
💐	3.22
🌸	3.01
💮	3.08
🏵	3.18
🌹	3.08
🥀	2.48
🌺	3.15
🌻	3.00
🌼	2.95
🌷	3.10
🌱	2.89
🌲	2.90
🌳	3.00
🌴	2.93
🌵	2.79
🌾	2.92
🌿	3.13
☘	3.01
🍀	2.99
🍁	2.89
🍂	2.83
🍃	2.86
🍇	3.22
🍈	3.40
🍉	3.21
🍊	2.70
🍋	3.11
🍌	2.84
🍍	3.12
🍎	2.91
🍏	3.12
🍐	3.36
🍑	2.72
🍒	3.07
🍓	3.11
🥝	3.36
🍅	3.09
🥥	3.20
🥑	3.27
🍆	2.37
🥔	3.16
🥕	3.04
🌽	3.01
🌶	2.99
🥒	2.74
🥦	2.65
🍄	2.81
🥜	2.68
🌰	3.04
🍞	2.56
🥐	3.23
🥖	3.07
🥨	2.71
🥞	3.09
🧀	2.92
🍖	2.61
🍗	2.53
🥩	2.66
🥓	2.89
🍔	2.87
🍟	3.04
🍕	3.03
🌭	2.85
🥪	3.21
🌮	2.98
🌯	2.93
🥙	3.16
🥚	2.80
🍳	2.92
🥘	3.06
🍲	2.30
🥣	2.91
🥗	3.21
🍿	2.82
🥫	2.92
🍱	2.75
🍘	2.28
🍙	2.57
🍚	2.55
🍛	2.86
🍜	2.71
🍝	2.64
🍠	3.26
🍢	3.28
🍣	2.85
🍤	2.65
🍥	3.11
🍡	3.40
🥟	2.55
🥠	3.25
🥡	2.89
🦀	2.88
🦐	3.13
🦑	2.81
🍦	2.90
🍧	3.28
🍨	2.70
🍩	2.70
🍪	2.73
🎂	3.55
🍰	3.17
🥧	3.13
🍫	3.19
🍬	3.03
🍭	3.22
🍮	2.96
🍯	2.92
🍼	2.84
🥛	2.58
☕	2.86
🍵	2.93
🍶	2.68
🍾	3.27
🍷	3.13
🍸	3.09
🍹	3.21
🍺	2.76
🍻	2.92
🥂	3.14
🥃	3.00
🥤	3.17
🥢	2.21
🍽	2.81
🍴	2.91
🥄	2.31
🔪	2.34
🏺	3.42
🌍	2.72
🌎	2.89
🌏	3.25
🌐	2.68
🗺	2.69
🗾	2.96
🏔	2.28
⛰	3.47
🌋	2.74
🗻	2.94
🏕	2.21
🏖	2.96
🏜	2.46
🏝	2.92
🏞	3.06
🏟	2.54
🏛	2.88
🏗	2.73
🏘	3.65
🏚	2.15
🏠	2.97
🏡	2.99
🏢	2.22
🏣	3.28
🏤	2.85
🏥	2.16
🏦	2.48
🏨	2.67
🏩	2.55
🏪	2.79
🏫	2.60
🏬	2.77
🏭	2.77
🏯	2.83
🏰	2.64
💒	2.87
🗼	2.91
🗽	2.92
⛪	2.92
🕌	2.25
🕍	3.34
🕋	2.82
⛲	3.21
⛺	2.84
🌁	2.57
🌃	2.77
🏙	3.21
🌄	2.99
🌅	3.17
🌆	0.00
🌇	2.68
🌉	2.21
♨	3.51
🎠	2.61
🎡	2.76
🎢	2.67
💈	2.45
🎪	2.77
🚂	2.59
🚃	2.46
🚄	3.08
🚅	2.98
🚆	2.70
🚇	2.74
🚈	0.00
🚉	2.56
🚊	2.52
🚝	2.59
🚞	2.41
🚋	2.71
🚌	2.16
🚍	0.00
🚎	2.43
🚐	0.00
🚑	0.00
🚒	2.03
🚓	0.00
🚔	0.00
🚕	2.64
🚖	0.00
🚗	2.47
🚘	2.54
🚙	2.41
🚚	2.32
🚛	2.33
🚜	0.00
🏎	2.60
🏍	2.52
🛵	2.69
🚲	2.55
🛴	0.00
🚏	0.00
🛣	0.00
🛤	2.80
🛢	2.05
⛽	2.10
🚨	2.34
🚥	3.32
🚦	2.77
🛑	0.00
🚧	2.60
⚓	2.98
⛵	3.16
🛶	2.55
🚤	2.84
🛳	2.66
⛴	2.02
🛥	2.97
🚢	2.77
✈	2.44
🛩	2.70
🛫	3.20
🛬	3.49
💺	2.46
🚁	2.80
🚟	2.25
🚠	3.36
🚡	3.41
🛰	3.27
🚀	2.73
🛸	2.63
🛎	2.52
⌛	0.00
⏳	3.13
⌚	2.91
⏰	2.63
⏱	2.58
⏲	2.46
🕰	3.82
🕛	2.50
🕧	3.43
🕐	3.03
🕜	3.55
🕑	2.20
🕝	3.80
🕒	0.00
🕞	2.45
🕓	2.04
🕟	2.21
🕔	3.07
🕠	2.24
🕕	0.00
🕡	2.44
🕖	2.68
🕢	2.28
🕗	2.73
🕣	3.08
🕘	2.74
🕤	2.84
🕙	2.30
🕥	2.58
🕚	2.27
🕦	2.69
🌑	2.69
🌒	2.58
🌓	2.53
🌔	2.45
🌕	2.83
🌖	2.25
🌗	2.21
🌘	2.46
🌙	3.10
🌚	2.13
🌛	3.31
🌜	3.15
🌡	0.00
☀	3.02
🌝	2.63
🌞	3.26
⭐	3.02
🌟	2.90
🌠	2.92
🌌	2.83
☁	2.54
⛅	3.11
⛈	2.17
🌤	3.16
🌥	3.64
🌦	2.29
🌧	0.00
🌨	2.25
🌩	2.40
🌪	2.63
🌫	2.38
🌬	2.36
🌀	2.92
🌈	2.92
🌂	2.65
☂	2.59
☔	2.15
⛱	3.26
⚡	2.71
❄	2.63
☃	2.68
⛄	3.27
☄	2.81
🔥	2.64
💧	2.40
🌊	2.96
🎃	2.95
🎄	3.47
🎆	3.38
🎇	3.28
✨	2.98
🎈	3.29
🎉	3.42
🎊	3.39
🎋	3.17
🎍	3.46
🎎	3.11
🎏	3.35
🎐	2.82
🎑	3.53
🎀	3.08
🎁	3.38
🎗	2.89
🎟	2.57
🎫	3.01
🎖	3.04
🏆	2.96
🏅	2.91
🥇1	3.08
🥈2	2.86
🥉3	2.92
⚽	2.67
⚾	2.84
🏀	2.56
🏐	2.92
🏈	2.80
🏉	2.81
🎾	2.91
🎳	0.00
🏏	2.64
🏑	3.10
🏒	2.80
🏓	3.02
🏸	2.87
🥊	2.82
🥋	3.23
🥅	2.65
⛳	2.96
⛸	3.17
🎣	2.58
🎽	2.47
🎿	3.12
🛷	3.01
🥌	0.00
🎯	2.53
🎱	3.12
🔮	3.04
🎮	3.66
🕹	3.26
🎰	3.03
🎲	2.63
♠	2.73
♥	2.93
♦	2.79
♣	3.12
♟	2.67
🃏	2.79
🀄	2.77
🎴	0.00
🎭	2.91
🖼	2.87
🎨	2.98
👓	2.69
🕶	3.07
👔	2.82
👕	3.00
👖	2.70
🧣	2.92
🧤	3.22
🧥	2.53
🧦	2.89
👗	3.15
👘	2.89
👙	2.58
👚	3.17
👛	2.87
👜	2.76
👝	3.24
🛍	2.97
🎒	2.72
👞	2.80
👟	2.77
👠	3.20
👡	2.67
👢	0.00
👑	2.99
👒	3.22
🎩	2.78
🎓	2.80
🧢	0.00
⛑	2.76
📿	2.98
💄	3.26
💍	2.84
💎	3.34
🔇	2.07
🔈	2.37
🔉	2.87
🔊	2.60
📢	2.67
📣	2.62
📯	3.03
🔔	2.16
🔕	2.65
🎼	2.83
🎵	2.92
🎶	2.66
🎙	2.76
🎚	2.78
🎛	2.95
🎤	2.79
🎧	2.74
📻	2.78
🎷	3.36
🎸	2.93
🎹	3.20
🎺	2.78
🎻	3.00
🥁	2.99
📱	2.66
📲	2.83
☎	2.26
📞	0.00
📟	2.82
📠	2.52
🔋	2.63
🔌	2.80
💻	2.72
🖥	3.74
🖨	3.51
⌨	3.43
🖱	3.39
🖲	2.94
💽	3.05
💾	2.89
💿	2.52
📀	3.12
🎥	2.73
🎞	2.95
📽	2.65
🎬	2.69
📺	2.51
📷	2.49
📸	2.81
📹	2.47
📼	2.41
🔍	2.77
🔎	2.80
🕯	2.61
💡	2.68
🔦	3.29
🏮	3.44
📔	3.27
📕	3.02
📖	2.84
📗	3.35
📘	3.14
📙	3.36
📚	2.89
📓	2.74
📒	2.84
📃	2.59
📜	2.45
📄	2.74
📰	2.43
🗞	2.16
📑	2.76
🔖	2.65
🏷	2.58
💰	2.48
💴	2.31
💵	0.00
💶	2.33
💷	2.37
💸	2.27
💳	2.39
💹	3.35
✉	2.26
📧	2.35
📨	2.99
📩	2.11
📤	2.55
📥	2.40
📦	2.93
📫	2.99
📪	2.90
📬	2.20
📭	2.44
📮	3.23
🗳	2.74
✏	2.59
✒	2.75
🖋	2.50
🖊	3.01
🖌	2.74
🖍	2.55
📝	2.68
💼	2.53
📁	2.37
📂	2.26
🗂	2.57
📅	2.12
📆	2.39
🗒	2.57
🗓	0.00
📇	2.97
📈	2.57
📉	2.05
📊	2.49
📋	2.56
📌	2.27
📍	2.31
📎	2.01
🖇	2.40
📏	3.01
📐	3.25
✂	0.00
🗃	2.23
🗄	2.56
🗑	0.00
🔒	2.97
🔓	2.53
🔏	2.55
🔐	2.34
🔑	2.97
🗝	2.64
🔨	2.08
⛏	2.21
⚒	2.66
🛠	2.18
🗡	3.39
⚔	2.79
🔫	0.00
🏹	2.72
🛡	2.83
🔧	2.50
🔩	2.31
⚙	2.99
🗜	0.00
⚖	2.25
🔗	2.54
⛓	2.13
⚗	2.77
🔬	2.63
🔭	2.94
📡	2.32
💉	2.32
💊	-2.19
🚪	2.07
🛏	2.38
🛋	3.43
🚽	0.00
🚿	2.62
🛁	2.39
🛒	2.74
🚬	2.26
⚰	-2.13
⚱	2.52
🗿	2.08
🏧	2.25
🚮	-2.06
🚰	2.21
♿	2.13
🚹	2.78
🚺	2.40
🚻	2.93
🚼	2.51
🚾	2.45
🛂	2.80
🛃	0.00
🛄	3.03
🛅	2.67
⚠	2.06
🚸	3.11
⛔	2.15
🚫	0.00
🚳	3.53
🚭	2.10
🚯	0.00
🚱	0.00
🚷	2.17
📵	0.00
🔞	2.78
☢	2.41
☣	0.00
⬆	2.53
↗	-3.27
➡	2.59
↘	-3.07
⬇	2.77
↙	3.33
⬅	3.11
↖	0.00
↕	3.46
↔	2.21
↩	3.51
↪	2.86
⤴	2.73
⤵	2.96
🔃	3.23
🔄	3.27
🔙	3.20
🔚	3.26
🔛	3.27
🔜	3.08
🔝	2.77
🛐	2.74
⚛	2.85
🕉	3.37
✡	0.00
☸	2.50
☯	2.68
✝	2.73
☦	2.15
☪	2.01
☮	2.98
🕎	3.22
🔯	2.79
♈	3.33
♉	3.42
♊	3.44
♋	2.17
♌	3.02
♍	3.04
♎	3.16
♏	3.00
♐	3.10
♑	3.02
♒	2.99
♓	3.09
⛎	3.23
🔀	3.31
🔁	3.05
🔂	2.88
▶	2.72
⏩	3.22
⏭	3.25
⏯	3.13
◀	3.03
⏪	3.23
⏮	3.29
🔼	2.61
⏫	2.38
🔽	3.31
⏬	3.56
⏸	2.57
⏹	2.68
⏺	2.50
⏏	3.23
🎦	2.69
🔅	3.33
🔆	3.57
📶	2.40
📳	3.22
📴	0.00
♀	0.00
♂	0.00
✖	2.28
➕	2.77
➖	2.56
➗	2.84
♾	3.07
‼	2.17
⁉	0.00
❓	2.59
❔	2.48
❕	2.38
❗	2.34
〰	2.52
💱	2.69
💲	2.61
⚕	2.46
♻	3.34
⚜	2.73
🔱	0.00
📛	3.05
🔰	2.97
⭕	2.85
✅	3.24
☑	2.89
✔	2.94
❌	0.00
❎	2.46
➰	2.98
➿	3.01
〽	2.63
✳	-2.24
✴	2.75
❇	2.65
©	2.14
®	2.61
™	2.52
🔟	2.63
🔠	3.07
🔡	3.45
🔢	2.36
🔣	3.78
🅰	2.57
🆎	3.41
🅱	2.45
🆑	2.77
🆒	3.73
🆓	2.50
	2.47
🆔	2.63
Ⓜ	2.77
🆕	2.53
🆖	2.94
🅾	2.47
🆗	2.59
🅿	2.49
🆘	-2.22
🆙	2.79
🆚	2.18
🈁	2.59
🈂	2.71
🈷	3.76
🈶	3.31
🈯	2.26
🉐	3.05
🈹	3.09
🈚	2.91
🈲	2.50
🉑	2.14
🈸	3.00
🈴	2.24
🈳	2.45
㊗	3.26
㊙	2.12
🈺	2.90
🈵	2.08
🔴	2.59
🔵	2.50
⚫	2.64
⚪	2.70
⬛	2.77
⬜	2.60
◼	3.08
◻	2.56
◾	2.44
◽	0.00
▪	2.61
▫	2.42
🔶	2.95
🔷	2.99
🔸	2.84
🔹	2.53
🔺	2.36
🔻	2.25
💠	3.06
🔘	2.88
🔳	2.48
🔲	3.05
🏁	3.01
🚩	2.73
🎌	2.96
🏴	2.85
🏳	2.75
🏳️‍🌈	2.78
🏴‍☠️	3.59
🇦🇨	3.52
🇦🇩	2.37
🇦🇪	3.05
🇦🇫	-3.18
🇦🇬	2.74
🇦🇮	3.05
🇦🇱	2.69
🇦🇲	2.11
🇦🇴	3.24
🇦🇶	-3.10
🇦🇷	2.69
🇦🇸	2.47
🇦🇹	3.05
🇦🇺	2.77
🇦🇼	3.01
🇦🇽	3.79
🇦🇿	3.22
🇧🇦	-2.03
🇧🇧	2.53
🇧🇩	3.16
🇧🇪	2.86
🇧🇫	3.45
🇧🇬	2.56
🇧🇭	2.55
🇧🇮	3.51
🇧🇯	2.87
🇧🇱	2.54
🇧🇲	3.24
🇧🇳	2.25
🇧🇴	3.71
🇧🇷	2.84
🇧🇸	2.42
🇧🇹	2.90
🇧🇻	3.98
🇧🇼	2.89
🇧🇾	0.00
